Location,CatererName,StartingPrice,Contact,Webpage
"Charlotte, NC",The Tin Kitchen,$1 ,(704) 750-0477,http://www.tinkitchen.com/
"Charlotte, NC",Vita Da Pizza (Inizio Mobile),$750 ,(980)-346-8189,https://vitadapizzaclt.com/
"Charlotte, NC",Sullivan's Steakhouse,NA,(704) 335-8228,https://sullivanssteakhouse.com/charlotte/
"Charlotte, NC",Taste Of Heaven Cafe,$500 ,(833) 505-3837,https://tasteofheavensouthernkitchen.com/
"Terrell, NC",Catering By Tracy,"$4,500 ",(704) 607-3078,http://cateringbytracy.net/
"Wilmington, NC",The Little Bar Cart,NA,(910) 616-8761,https://thelittlebarcart.com/north-carolina/
"Greensboro, NC",Visions Catering & Floral,"$1,500 ",(336) 886-4900,http://www.visionscatering.com/
"Irving, TX",On The Border Mexican Grill & Cantina,$100 ,(888) 682-2287,https://www.ontheborder.com/catering/
"Atlanta, GA",Artistic Soul Catering,"$3,000 ",(404) 983-0210,http://www.artisticsoulcatering.com/
"Edgefield, SC",Delectable Delight,"$1,000 ",(404) 490-9852,http://www.delectabledelightsbyandie.com/
"Coopersville, MI","Pints and Ponies, LLC",NA,(616) 405-1079,http://pintsandponies.com/
"Atlanta, GA",Jazzy's Kitchen ATL,"$5,000 ",(718) 219-6859,https://www.jazzyskitchenatl.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8572775533234401594
"Lake Lure, NC",Omelet Nation,NA,(828) 521-9021,https://omeletnation.com/
"Grand Haven, MI",Late to the Lake,$450 ,(313) 338-5878,https://latetothelake.com/
"Fort Worth, TX",A&T Catering,$900 ,(682) 217-5517,https://atcatering.weebly.com/
"Charlotte, NC",Capital Tacos,$100 ,(704) 317-8322,http://capitaltacos.com/
"Charlotte, NC",Catering By Tara,$420 ,(704) 492-3791,https://cateringbytara.com/
"Charlotte, NC",Babe & Butcher,$15 ,(855) 645-5471,http://www.babeandbutcher.com/
"Charlotte, NC",Delectables by Holly,"$3,000 ",(704) 342-4800,http://www.delectablesbyholly.com/
"Charlotte, NC",Waiter's Choice Catering,NA,(704) 393-0009,https://www.waiterschoice.com/
"Charlotte, NC",La-tea-da's Catering,NA,(704) 338-6864,http://www.lateadas.com/
"Charlotte, NC",Eminence Image Events,$500 ,(336) 417-9687,https://www.eminenceimageevents.com
"Charlotte, NC",Leroy Fox Kitchen & Cocktails,$2 ,(980) 999-5101,http://leroyfox.com/
"Charlotte, NC",SMS Catering Services,"$1,000 ",(704) 504-7344,https://cateringcharlotte.com/
"Charlotte, NC",22 Street Kitchen,"$1,350 ",(980) 220-2480,http://www.22streetkitchen.com/
"Charlotte, NC",RiRa Irish Pub,"$1,000 ",(704) 333-5554,https://rira.com/charlotte/
"Mooresville, NC",Lake Norman Catering - Langtree LKN,$500 ,(704) 438-9777,http://www.lakenormancatering.com/
"Mebane, NC",Drinkz By Design,NA,(919) 960-1997,http://drinkzbydesign.com/
"Raleigh, NC",Locals Seafood,$500 ,(919) 294-9910,http://localsseafood.com/our-restaurants/
"Philadelphia, PA",Tuck-ins,$250 ,(215) 839-6492,https://www.facebook.com/TuckinsFoods/
"Mt Pleasant, SC",FromScratch™,NA,Foy.fromscratch.tm@gmail.com,https://www.scratchmadetm.com/
